"id","geom","NUMERO","HOTEL","CATÉGORIE","ADRESSE","PHONE1","PHONE_2","CAP_CHAMBR","CAP_LIT","Etoile","cap_reunio"
1,"0101000020110F0000FA9213EEF3132AC18CE3A39F3D534E41","39","Tropicana","2*","Bd. de la Corniche Casablanca","022-79-75-95",NULL,"50",100,2,0
2,"0101000020110F000057EA5734BA0F2AC1608EBEB369534E41","9","Riad Salam","V.V.T 2ème C","Bd. de la Corniche, Aïn Diab Casablanca","022-39-13-13","022-39-22-44/5","197",394,904,200
3,"0101000020110F00000A1E008E3D152AC1E47B4DE6E9524E41","26","Azur","4*","41, Bd. de la Corniche, Aïn Diab Casablanca","022-79-74-93","022-79-75-93","58",116,4,0
4,"0101000020110F00003BEB485EE9162AC199C9BBA83E524E41","28","De la Côte","3*","Bd. de la Corniche, Casablanca","022-79-70-31",NULL,"92",0,3,0
5,"0101000020110F00008C42A05A8C162AC1103E281E30524E41","36","Bellerive","3*","38, Bd. de la Corniche Casablanca","022-79-75-16","022-79-75-04","32",63,3,0
6,"0101000020110F00002E564F743A162AC1268C95B407524E41","18","La Corniche","4*","Bd. de la Corniche, Aïn Diab Casablanca","022-79-85-69","022-79-81-81","53",106,4,10
7,"0101000020110F00001AB76FB935162AC1A6A628B7EF514E41","15","Club Val d'Anfa","4*","11, Bd. De la Corniche Bd. Biaritz Aïn Diab Casablacna","022-79-71-71","022-79-70-70","59",118,4,0
8,"0101000020110F00000EDBD99E9E162AC1EBEA594ED1514E41","14","Le Littoral","4*","Bd. de l'Ocean Atlantique, Aïn Diab, Casablanca","022-79-73-73",NULL,"29",58,4,10
9,"0101000020110F0000D8D2D9473E152AC17D069776E5514E41","27","Suisse","4*","Bd. de la Corniche, Aïn Diab Casablanca","022-39-60-61/64","022-39-60-55","148",190,4,160
10,"0101000020110F000080B768BBFF062AC1C81F1B0F68544E41","29","Dawliz","Fermé","Bd. de la Corniche, Casablanca","022-39-12-25","022-39-25-10","20",40,900,0
11,"0101000020110F0000FA65F3F483F329C16BA3FBF47E514E41","6","Palace d'Anfa","5*","171, Bd. d'Anfa","022-95-43-00","022-95-42-00","156",320,5,220
12,"0101000020110F000055CFE8BB22EF29C18F0755541F514E41","7","Byblos","RT 1ère CAT. (c","222, Bd. Zerktouni","022-20-70-71","022-20-77-75","0",88,903,0
13,"0101000020110F000047BA7408C1EC29C1D95D8B27934F4E41","24","Rania Belmadina","CC","32, Bd. Du 9 Avril Angle R. El Mortada Palmier Casa","022-99-00-99",NULL,"65",105,901,0
14,"0101000020110F00007981509C35E729C17A8ECFD4E04F4E41","4","Holiday Inn","5*","Rond Point Hassan II 21000 Casablanca","022-29-49-49","022-29-34-34","171",233,5,0
15,"0101000020110F0000B6287C0135E429C11D341BB7F7504E41","42","Balmoral","2*","9, Rue Allal Fassi Casablanca","022-26-01-15","022-26-01-16","34",56,2,0
16,"0101000020110F00008BD09E378AE029C1D23EB104F8504E41","20","Washington","4*","26, Bd. Rahal El Meskini Casablanca","022-20-03-77","022-29-46-76","85",146,4,10
17,"0101000020110F00007B916D0D92DB29C15711FD3935504E41","33","Casablanca","3*","83-85 Bd. de la liberté Ben Jdia Casablanca","022-44-02-02","022-31-84-04","55",110,3,0
18,"0101000020110F0000944A793F5ADF29C17479032E8A514E41","38","Salim","2*","35, Rue El Araar","022-20-44-41",NULL,"50",100,2,0
19,"0101000020110F0000B5852A40DCDF29C164C08267D9514E41","43","De Noailles","2*","22, Bd. du 11 Janvier Casablanca","022-26-05-83","022-27-05-85","53",67,2,0
20,"0101000020110F000068217CAAEDDD29C1126D0954D1514E41","47","Majestic","2*","55 Bd. Lalla Yacout Casablanca","022-31-09-51","022-44-62-85","88",164,2,0
21,"0101000020110F0000FCD8FF0297D629C1FE0FCFF30D524E41","40","Mauritania","2*","32, Rue Faidi Khalifa Casablanca","022-31-36-16","022-44-09-55","41",41,2,0
22,"0101000020110F00002A9E7176BCD729C10CD504A507524E41","52","D'orsay","1*","17, Rue Mohamed Diouri Casablanca","022-30-18-03",NULL,"36",54,1,0
23,"0101000020110F0000CEC6746A1FCA29C1ED93E563A1514E41","32","Ibis Moussafir","3*","Av. Bahmad Casa Voyageurs Casablanca","022-40-19-84","022-40-19-85","97",162,3,10
24,"0101000020110F0000CE9D2303A7D929C121D2E9C74D524E41","35","Metropole","3*","89, Rue Mohamed Smiha Casablanca","022-30-12-13","022-3041-01","57",66,3,0
25,"0101000020110F000098571D7F24D729C171A31C2295524E41","51","Astoria","1*","63, Rue d'Azilal Casablanca","022-30-74-17","022-30-57-01","29",40,1,0
26,"0101000020110F0000601640DA26DB29C1B4B220292A534E41","13","Farah","4*","160, Avenue des F.A.R. Casablanca","022-31-12-12",NULL,"310",620,4,500
27,"0101000020110F00008CD6E609CEDC29C1BF0951B025534E41","3","Sheraton","5*","100, Av. des F.A.R. B.P. 15870 Casablanca","022-31-78-78","022-43-94-94","280",383,5,650
28,"0101000020110F00009C550CAE25E029C15521066268534E41","44","Plaza","2*","18, Bd. Phelix Houphoet Boigny Casablanca","022-29-76-98","022-29-78-22","27",54,2,0
29,"0101000020110F0000025BD36564DF29C1B627C97F5A534E41","22","Les Saisons","4*","19, R. Al Oraïbi Jilali","022-49-09-01/29","022-48-18-98","45",90,4,10
30,"0101000020110F00006B6DA4243ADF29C1720A424A61534E41","55","Du Centre","1*","1, Rue Sidi Belyout Casablanca","022-31-24-48","022-44-61-80","34",72,1,0
31,"0101000020110F0000078DBE942EDF29C1B371655C6A534E41","16","Toubkal Best Western","4*","9, Rue Sidi Belyout Casablanca","022-31-14-14","022-31-05-50","68",121,4,10
32,"0101000020110F0000C4E9AE06C5DE29C15B433BFF5D534E41","1","Royal Mansour","5* luxe","27, Avenue des F.A.R. Casablanca","022-31-30-11","022-31-21-12","182",356,5,280
33,"0101000020110F00007CFD717BD3E029C16D9ABC2325534E41","54","Excelsior","1*","2, Rue Nolly Casablanca","022-20-08-48","022-20-02-63","54",89,1,0
34,"0101000020110F00006FEC9444F7E229C14A56A9DD1D534E41","2","Hyat Rgency","5*","Place Mohammed V Casablanca","022-26-12-34","22-43-13-34","229",314,5,580
35,"0101000020110F00001775247728E029C1A97B12C2D5524E41","45","Triomphe","2*","11, Passage Sumica","022-20-00-26","022-26-15-32","28",38,2,0
36,"0101000020110F000003F0F49A26E029C1CA9F67EC8C524E41","50","Rio","C.C","16, Av. Hoummane El Fetouaki Passage Abitbol Casablanca","022-27-78-96","022-27-78-99","40",74,901,0
37,"0101000020110F0000BB0864DB77E129C11C97A1827D524E41","46","Lausanne","2*","24, Rue Tata Casablanca","022-26-86-90","022-20-90-21","31",46,2,0
38,"0101000020110F00003C8F575EEFDF29C1328C27B942524E41","31","Guynemer","3*","2, Rue Mohammed Belloul Casablanca","022-27-57-64","022-27-76-19","29",44,3,0
39,"0101000020110F00002BD1287D4DE029C11D4A35641E524E41","30","De Paris","3*","2, Rue Cherif Amisiane (ex Rue Branly Angle Prince My Abdella","022-27-42-75","022-27-38-71","36",58,3,0
40,"0101000020110F0000E28AEE9582DE29C1B22A7A652D524E41","21","Transatlantique","4*","79, Rue Chaouia Casablanca","022-29-45-51","022-29-52-04","70",106,4,0
41,"0101000020110F0000263B961920E429C1F342B33DAF524E41","17","Kenzi Basma","4*","35, Avenue Hassan 1er Casablanca","022-22-33-23/26/5",NULL,"103",199,4,10
42,"0101000020110F0000F23C43251CE429C1C2056B8961524E41","23","Al Mounia","4*","24, bis Bd. de Paris Casablanca","022-20-32-11","022-20-32-16","88",184,4,80
43,"0101000020110F0000DA5CDE528DE629C111EE57394D524E41","19","Ramada les Almohades","4*","Avenue Hassan 1er Casablanca","022-22-05-05",NULL,"138",276,4,100
44,"0101000020110F00007FAC57BA05E829C137CE7DFFD9524E41","48","Windsor","2*","93, Place Oued El Makhazine Casablanca","022-20-03-52","022-20-03-87","32",66,2,0
45,"0101000020110F0000BA3DC88D57EB29C117E3173CBF524E41","11","Rivoli Casablanca","4*","44, Bd. d'Anfa Casablanca","022-43-47-00",NULL,"213",426,4,900
46,"0101000020110F0000E779F122A5EE29C166E3B85D20524E41","12","Idou Anfa","4*","85, Bd. d'Anfa Casablanca","022-20-01-36","022-20-02-35/4","221",343,4,320
47,"0101000020110F000029829A10BE952AC15996F6AE8C424E41","5","Palm Hotel des Arts","5*","Jack Beach 1120 Dar Bouazza","022-96-54-50","022-96-58-50","94",220,5,0
48,"0101000020110F0000D1052C5D69612AC16EDBDA7B44424E41","10","Park Régency Club","Maison d'Hôtes","Route Cotière d'Azemmour Dar Bouazza","022-29-02-02","022-09-03-03","16",19,902,0
49,"0101000020110F00005CA935C393B129C19007451FD9474E41","53","Erraha","1*","Bd. Driss El Harti Casablanca","022-37-97-33/34","022-38-47-98","18",33,1,0
