"id","geom","LENGTH","NOM"
1,"01050000204F66000001000000010200000002000000021C1CDB62F129C1446C614348524E41DFAC2ADA36F029C130A1E599DE514E41","215.347","RUE LAHCEN BASRI"
2,"01050000204F66000001000000010200000002000000AE997376F0F029C16B82F1D557524E4165953738B7EF29C181724316F2514E41","213.424","RUE D'ALGERIE"
3,"01050000204F66000001000000010200000002000000422F8C952BF029C1620F471E72524E41548DB7038CEE29C140CBDB961D524E41","222.87","RUE MOHAMED SEDKI"
4,"01050000204F66000001000000010200000003000000237112CE1BEF29C14CCF762B9F524E419465651393EE29C16378207470524E418DEE3B83D1ED29C180489C1339524E41","218.485","RUE MOHAMED ALAKKAD"
5,"01050000204F660000010000000102000000020000003CB27272EDF729C1D462480474544E411EEC318A4BF729C11DCA4187E5534E41","245.857","RUE MOHAMED ABDRI"
6,"01050000204F6600000100000001020000000200000038B2527A07F729C1022B2CE389544E4124AF8FB368F629C14A4F995F00544E41","237.563","RUE N. EL ABIDI"
7,"01050000204F66000001000000010200000002000000D82BF10E8AF829C18C7B326263544E41E8F4F2E1CCF729C1AD703A31D6534E41","247.175","RUE IBN HALAKA"
8,"01050000204F660000010000000102000000020000009D15FCE346F629C1BEC294A7F1534E4150543B8705F529C1741E9C72B5534E41","167.08","RUE EJOUALKI"
9,"01050000204F66000001000000010200000002000000DB2734D8C1F729C10EECE6C7C9534E41F3DCFEBB9FF429C16A231D1AD3534E41","334.634","RUE MOHAMED AKILI"
10,"01050000204F6600000100000001020000000D00000026958AE4D3F229C12272152038544E4114291603B6F129C1BD51112717544E410844634AD5F029C1FFF5A0F808544E419E24E687FDEF29C14A2A243D02544E419FB6A60654EF29C10DB6063DFB534E41F22651C864EE29C1A7DEEBE1F0534E41501CA824CDED29C10EB80FA4E5534E41038A82914CED29C15202EF33D8534E41365C21E59FEC29C1ABA63257BF534E4112B5634825EC29C133223864AA534E41C4077BD857EB29C191DC23788B534E4164D9B15B76E929C12F6DCFDF3F534E41204772BD9DE729C18DB76397F2524E41","1331.186","BOULEVARD DE BORDEAUX"
11,"01050000204F66000001000000010200000004000000A8674E3314E729C10A2B59B1E3524E4145D9B414FDE529C1AC7A0CAEC0524E41078FC88710E429C148909AF47D524E4141290B6CE4E129C129B899913B524E41","619.878","BOULEVARD DE PARIS"
12,"01050000204F6600000100000001020000000200000074789999A5F529C136C7D50F5D534E410B86E38530F429C19250FA0446534E41","160.113","RUE ESSABADIH"
13,"01050000204F6600000100000001020000000200000098E4BA3858F629C13884CBA300534E411827809F0AF329C1F65A220D33534E41","362.202","RUE SIDI ALI"
14,"01050000204F66000001000000010200000002000000E45FDC5626F629C1A8AB6AD145534E4150129D2296F529C1DE66277911534E41","105.619","RUE IB. ADILE"
